nporpoise,df1,df2,Pillai,approxF,p
17,1,66,0.8873621332490127,5.656006494963062,4.268935218465072e-6
10,1,59,0.8645609887616552,3.4372138119288818,0.0018311907454813766
7,1,56,0.8859465945513,3.5851487874981887,0.002570312103294438
15,1,64,0.8775800996736653,4.779071035206425,4.052657378027982e-5
8,1,57,0.8860425039679587,3.7879187217396297,0.0014488986748488408
2,1,51,0.8774543881510384,2.386742304659883,0.04651658489056008
14,1,63,0.8904197251188525,5.208801270988474,2.40670906301301e-5
12,1,61,0.8836256384715694,4.477898303178964,1.5819260138873079e-4
16,1,65,0.9154366110456494,7.4945412605106165,2.982215127585652e-7
14,1,63,0.8862298959659689,4.993368793859436,3.555005957551504e-5
3,1,52,0.878742040002606,2.601444561004782,0.028386693356567228
14,1,63,0.8966819099690997,5.563363550004928,1.2971177096134495e-5
7,1,56,0.8770185794500938,3.2913736407507446,0.004307977817244475
8,1,57,0.8771741782542123,3.479246141038994,0.0025108548523429387
11,1,60,0.8966498716862203,4.894067380204631,1.0065323471845465e-4
9,1,58,0.9049850979632938,4.884443514483331,1.856004622438954e-4
16,1,65,0.9124343295398419,7.213846496538366,4.517305778248733e-7
6,1,55,0.8209287922793354,1.998315419680093,0.06293559692509212
14,1,63,0.8970098137670165,5.583117303774151,1.2542556118718127e-5
12,1,61,0.8503414764058388,3.3508511427210705,0.0015169260115270725
7,1,56,0.8621961005832908,2.8877024778837384,0.009150345149234953
13,1,62,0.8870176308434956,4.8313467638465815,6.334967907694011e-5
14,1,63,0.8829665630712906,4.836260661487376,4.75967282335462e-5
10,1,59,0.9227400691356923,6.431018403311165,1.46956780769139e-5
6,1,55,0.8817568500148176,3.2505523580403977,0.005621587382863864
11,1,60,0.876596071712134,4.007085500402763,4.8770507734241655e-4
14,1,63,0.8836303517987166,4.867503867604184,4.4890420832292e-5
15,1,64,0.9287828438181807,8.694373599595139,9.216113168410728e-8
5,1,54,0.863824629805369,2.6024499967101664,0.021176963795581972
10,1,59,0.9309652992626657,7.261406248469212,5.221782418585976e-6
6,1,55,0.8655854923732108,2.80703700320146,0.012483004330016504
2,1,51,0.8691917638582926,2.2149261888899154,0.06173653052927873
3,1,52,0.8476017011874198,1.996526731072759,0.08168975375874167
10,1,59,0.8862868232873379,4.19679917650519,4.3779083812482174e-4
3,1,52,0.8638057706373978,2.276778717014119,0.04937566341496226
3,1,52,0.8198368408234221,1.6335215575882955,0.161592669787573
3,1,52,0.7819871590017928,1.2876000232076108,0.31334365323284163
9,1,58,0.8797463675287377,3.7516703161202627,0.0012341254256792032
11,1,60,0.9035437278455246,5.284169938064531,5.346713358712945e-5
15,1,64,0.8709973187881119,4.501184578003671,7.058184719684464e-5
7,1,56,0.89825779757199,4.074813716064863,0.001147500250323508
3,1,52,0.8828595737232862,2.705504492471642,0.023935333434896403
16,1,65,0.8836200920829568,5.256379711717203,1.222116045302257e-5
8,1,57,0.9153630795004154,5.268931253899263,1.4568196753069056e-4
13,1,62,0.8862602552821948,4.7950778127790805,6.766838983738227e-5
8,1,57,0.935126655900158,7.022522593689094,1.652774499140428e-5
2,1,51,0.8369727492197395,1.711314611951736,0.14849635584223886
7,1,56,0.8279154797131559,2.220506737931734,0.035757994159506874
16,1,65,0.926639232191838,8.744721294603579,5.3838251433609625e-8
5,1,54,0.8492031166796717,2.310333042411047,0.03679722444958977
5,1,54,0.7981592411166915,1.6223182417919124,0.14890088298928572
4,1,53,0.7747264134694635,1.3227103189386307,0.2855377670178886
16,1,65,0.8662132165206714,4.482401455361298,5.7417435422070066e-5
